# t Rcm_x Rcm_y RMS momentum d_min
1.68000000e-01 -1.35285482e-02 -3.75157970e-02 4.09610655e-01 2.06617619e-01 1.20639643e-02
1.69000000e-01 -1.35266080e-02 -3.75144748e-02 4.11258559e-01 2.06617619e-01 6.23375175e-03
1.70000000e-01 -1.35246677e-02 -3.75131527e-02 4.12868945e-01 2.06617619e-01 9.28478380e-03
1.71000000e-01 -1.35227274e-02 -3.75118305e-02 4.14442233e-01 2.06617619e-01 7.04078117e-03
1.72000000e-01 -1.35207872e-02 -3.75105083e-02 4.15974409e-01 2.06617619e-01 6.45090963e-03
1.73000000e-01 -1.35188469e-02 -3.75091861e-02 4.17456485e-01 2.06617619e-01 7.30818949e-03
1.74000000e-01 -1.35169067e-02 -3.75078639e-02 4.18887113e-01 2.06617619e-01 3.75597983e-03
1.75000000e-01 -1.35149664e-02 -3.75065417e-02 4.20273920e-01 2.06617619e-01 3.63819195e-03
1.76000000e-01 -1.35130262e-02 -3.75052196e-02 4.21627507e-01 2.06617619e-01 6.76394054e-03
1.77000000e-01 -1.35110859e-02 -3.75038974e-02 4.22953217e-01 2.06617619e-01 1.08488893e-02
1.78000000e-01 -1.35091456e-02 -3.75025752e-02 4.24247767e-01 2.06617619e-01 1.02409731e-03
1.79000000e-01 -1.35072054e-02 -3.75012530e-02 4.25507896e-01 2.06617619e-01 1.11209926e-02
1.80000000e-01 -1.35052651e-02 -3.74999308e-02 4.26728509e-01 2.06617619e-01 5.02589529e-03
1.81000000e-01 -1.35033249e-02 -3.74986087e-02 4.27907384e-01 2.06617619e-01 3.65772370e-03
1.82000000e-01 -1.35013846e-02 -3.74972865e-02 4.29034075e-01 2.06617619e-01 1.20935490e-02
1.83000000e-01 -1.34994444e-02 -3.74959643e-02 4.30101782e-01 2.06617619e-01 6.55123924e-03
1.84000000e-01 -1.34975041e-02 -3.74946421e-02 4.31107445e-01 2.06617619e-01 1.03720666e-02
1.85000000e-01 -1.34955638e-02 -3.74933199e-02 4.32044548e-01 2.06617619e-01 7.77639516e-03
1.86000000e-01 -1.34936236e-02 -3.74919978e-02 4.32909919e-01 2.06617619e-01 5.26844972e-03
1.87000000e-01 -1.34916833e-02 -3.74906756e-02 4.33703989e-01 2.06617619e-01 3.34143296e-03
1.88000000e-01 -1.34897431e-02 -3.74893534e-02 4.34429200e-01 2.06617619e-01 3.40393600e-03
1.89000000e-01 -1.34878028e-02 -3.74880312e-02 4.35086979e-01 2.06617619e-01 5.38400537e-03
1.90000000e-01 -1.34858626e-02 -3.74867090e-02 4.35675660e-01 2.06617619e-01 7.90049356e-03
1.91000000e-01 -1.34839223e-02 -3.74853868e-02 4.36194203e-01 2.06617619e-01 1.04928857e-02
1.92000000e-01 -1.34819820e-02 -3.74840647e-02 4.36644425e-01 2.06617619e-01 1.30222584e-02
1.93000000e-01 -1.34800418e-02 -3.74827425e-02 4.37026530e-01 2.06617619e-01 1.54237399e-02
1.94000000e-01 -1.34781015e-02 -3.74814203e-02 4.37341452e-01 2.06617619e-01 1.29557423e-02
1.95000000e-01 -1.34761613e-02 -3.74800981e-02 4.37594811e-01 2.06617619e-01 8.38540612e-03
1.96000000e-01 -1.34742210e-02 -3.74787759e-02 4.37790002e-01 2.06617619e-01 1.74464738e-02
1.97000000e-01 -1.34722807e-02 -3.74774538e-02 4.37925389e-01 2.06617619e-01 2.16931979e-02
1.98000000e-01 -1.34703405e-02 -3.74761316e-02 4.38000803e-01 2.06617619e-01 9.21532045e-03
1.99000000e-01 -1.34684002e-02 -3.74748094e-02 4.38017086e-01 2.06617619e-01 2.07165594e-02
